CDRCode,statute,CDRDescription,classification,class,CDRStatus,RangeOfPunishment,max_time_days,min_time_days,conjunct,max_fine,min_fine,mandatory_incarceration,mandatory_fine,drug_type,drug_crime_category,other_punish,statutory_requires_gps,statutory_most_serious,statutory_nonviolent,statutory_serious,statutory_violent,statutory_unlisted
3656,56-01-2070(D)(2),"TRAFFIC / DRIVING COMMERCIAL MOTOR VEHICLE WHILE LICENSE SUSPENDED, REVOKED, CANCELED OR DISQUALIFIED, NON DUI RELATED - 2ND OFFENSE",M,U,Active,NMT 60 DAYS &/OR NMT $600,60,0,AND/OR,600,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3657,56-01-2070(D)(2),"TRAFFIC / DRIVING COMMERCIAL MOTOR VEHICLE WHILE LICENSE SUSPENDED, REVOKED, CANCELED OR DISQUALIFIED, NON DUI RELATED - 3RD OR SUB. OFFENSE",M,U,Active,"NMT 90 DAYS & $1,000",90,0,AND,1000,1000,FALSE,TRUE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3658,32-07-0095,"FUNERAL / PRE-NEED FUNERAL CONTRACT VIOLATION, VALUE OF $2,000 OR LESS",M,U,Active,"NMT 30 DAYS &/OR NLT $1,000",30,0,AND/OR,3000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3659,32-07-0030,"FUNERAL / PRE-NEED FUNERAL CONTRACT VIOLATION, VALUE OF IS MORE THAN $2,000 BUT LESS THAN $10,000",F,F,Active,NMT 5 YEARS &/OR DISCRETIONARY FINE,1825,0,AND/OR,75000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3660,32-07-0030,"FUNERAL / PRE-NEED FUNERAL CONTRACT VIOLATION, VALUE OF IS $10,000 OR MORE",F,E,Active,NMT 10 YEARS &/OR DISCRETIONARY FINE,3650,0,AND/OR,150000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3661,16-03-0655(C),"SEX / CRIMINAL SEXUAL CONDUCT WITH MINOR, 3RD DEGREE - COMMIT/ATTEMPT LEWD ACT (VICTIM UNDER 16 YRS & ACTOR OVER 14 YRS)",F,D,Active,NMT 15 YEARS &/OR DISCRETIONARY FINE,5475,0,AND/OR,225000,0,FALSE,FALSE,,,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
3662,56-05-5670,"METALS / DEMOLISHER SHALL KEEP RECORDS OF ABANDONED VEHICLES AND PARTS WITH A TOTAL WEIGHT OF 25 LBS OR MORE, 2ND OR SUB. OFFENSE",F,U,Active,"NMT 3 YEARS &/OR NMT $1,000 PER TRANSACTION NOT TO EXCEED $10,000",1095,0,AND/OR,10000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3663,56-05-5670(H)(2),"METALS / FALSIFYING INFORMATION ON APPLICATION, FORM OR AFFIDAVIT REQUIRED UNDER 56-5-5670",F,U,Active,"NMT 3 YEARS &/OR $1,000 - $5,000",1095,0,AND/OR,5000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3664,56-05-5945,"METALS / DEMOLISHER SHALL KEEP RECORDS OF ALL VEHICLES AND PARTS WITH A TOTAL WEIGHT OF 25 LBS OR MORE, 2ND & SUB. OFFENSE",F,U,Active,"NMT 3 YEARS &/OR NMT $1,000 PER TRANSACTION NOT TO EXCEED $10,000",1095,0,AND/OR,10000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3665,56-05-5945,"METALS / FALSIFYING INFORMATION ON APPLICATION, FORM OR AFFIDAVIT REQUIRED BY 56-5-5945",F,U,Active,"NMT 3 YEARS &/OR NMT $5,000",1095,0,AND/OR,5000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3666,16-11-0580(A),"TIMBER / CUT, REMOVE, DESTROY, OR TRANSPORT TIMBER, LOGS OR LUMBER WITHOUT PERMISSION, VALUE $1,000 OR LESS (1ST OFFENSE)",M,U,Active,"NMT 30 DAYS &/OR NMT $1,500",30,0,AND/OR,1500,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3667,16-11-0580(A),"TIMBER / CUT, REMOVE, DESTROY, OR TRANSPORT TIMBER, LOGS OR LUMBER WITHOUT PERMISSION, VALUE $1,000 OR LESS (2ND OR SUB. OFF.)",M,U,Active,"NMT 60 DAYS &/OR $2,000 - $5,000",60,0,AND/OR,5000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3668,16-11-0580(A),"TIMBER / CUT, REMOVE, DESTROY, OR TRANSPORT TIMBER, LOGS OR LUMBER WITHOUT PERMISSION, VALUE MORE THAN $1,000 BUT LESS THAN $5,000 (1ST OFFENSE)",M,U,Active,"NMT 5 YEARS &/OR $5,000 - $10,000",1825,0,AND/OR,10000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3669,16-11-0580(A),"TIMBER / CUT, REMOVE, DESTROY, OR TRANSPORT TIMBER, LOGS OR LUMBER WITHOUT PERMISSION, VALUE MORE THAN $1,000 BUT LESS THAN $5,000 (2ND OR SUB. OFF.)",F,E,Active,"NMT 10 YEARS &/OR $10,000 - $20,000",3650,0,AND/OR,20000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3670,16-11-0580(A),"TIMBER / CUT, REMOVE, DESTROY, OR TRANSPORT TIMBER, LOGS OR LUMBER WITHOUT PERMISSION, VALUE $5,000 OR MORE (1ST OFFENSE)",M,U,Active,"NMT 10 YEARS &/OR $10,000 - $20,000",3650,0,AND/OR,20000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3671,16-11-0580(A),"TIMBER / CUT, REMOVE, DESTROY, OR TRANSPORT TIMBER, LOGS OR LUMBER WITHOUT PERMISSION, VALUE $5,000 OR MORE (2ND OR SUB. OFF.)",F,E,Active,"NMT 10 YEARS &/OR $10,000 - $20,000",3650,0,AND/OR,20000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3672,50-13-0315,"WILDLIFE / TITLE 50, ARTICLE 3 MISCELLANEOUS VIOLATIONS",M,U,Active,NMT 30 DAYS &/OR $25 - $500,30,0,AND/OR,500,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3673,50-13-0695(A),WILDLIFE / UNLAWFUL USE OR INSPECTION OF NONGAME FISHING DEVICES BY ANOTHER,M,U,Active,NMT 30 DAYS &/OR NMT $500,30,0,AND/OR,500,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3674,23-03-0535(B),"SEX / SEX OFFENDER VIOLATION OF RESIDENCY LIMITATIONS, 1ST OFFENSE",M,U,Active,NMT 30 DAYS &/OR NMT $500,30,0,AND/OR,500,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3675,23-03-0535(B),"SEX / SEX OFFENDER VIOLATION OF RESIDENCY LIMITATIONS, 2ND OFFENSE",M,A,Active,NMT 3 YEARS &/OR NMT $1000,1095,0,AND/OR,1000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3676,23-03-0535(B),"SEX / SEX OFFENDER VIOLATION OF RESIDENCY LIMITATIONS, 3RD OFFENSE",F,F,Active,"NMT 5 YEARS &/OR NMT $5,000",1825,0,AND/OR,5000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3677,16-03-2020(A),"TRAFFICKING / TRAFFICKING IN PERSONS, RECRUITING, ENTICING, SOLICITING, HARBORING, TRANSPORTING, OR ATTEMPTS - 1ST OFFENSE",F,D,Active,NMT 15 YEARS,5475,0,NONE,0,0,FALSE,FALSE,,,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
3678,16-03-2020(A),"TRAFFICKING / TRAFFICKING IN PERSONS, RECRUITING, ENTICING, SOLICITING, HARBORING, TRANSPORTING, OR ATTEMPTS - 2ND OFFENSE",F,A,Active,NMT 30 YEARS,10950,0,NONE,0,0,FALSE,FALSE,,,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
3679,16-03-2020(A),"TRAFFICKING / TRAFFICKING IN PERSONS, RECRUITING, ENTICING, SOLICITING, HARBORING, TRANSPORTING, OR ATTEMPTS - 3RD OR SUB OFFENSE",F,X,Active,NMT 45 YEARS,16425,0,NONE,0,0,FALSE,FALSE,,,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
3681,16-03-2020(D),"TRAFFICKING / TRAFFICKING IN PERSONS, USE OF BUSINESS IN VIOLATION OF ARTICLE 19",F,E,Active,NMT 10 YEARS,3650,0,NONE,0,0,FALSE,FALSE,,,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
3682,16-03-2080(B),"TRAFFICKING / PUBLISHING, DISSEMINATING OR DISCLOSING LOCATION OF TRAFFICKING VICTIM, SHELTER, OR DV SHELTER",M,A,Active,NMT 3 YEARS,1095,0,NONE,0,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3683,16-03-2080(C),TRESPASS / UNLAWFUL FOR PERSONS CHARGED WITH OR CONVICTED OF 16-3-2020 TO ENTER OR REMAIN ON GROUNDS OF SHELTER,M,A,Active,"NMT 3 YEARS &/OR NMT $3,000",1095,0,AND/OR,3000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3684,16-03-2090(D),"TRAFFICKING / TRAFFICKING IN PERSONS, USE OF PROPERTY OR CONVEYANCE IN UNLAWFUL MANNER",M,C,Active,"NMT 1 YEAR &/OR NMT $5,000",365,0,AND/OR,5000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3685,16-11-0520(A),"MALICIOUS / MALICIOUS INJURY TO TREE, HOUSE; TRESPASS UPON REAL PROPERTY, INJURY VALUE LESS THAN $2,000 OR LESS (ENHANCEMENT PER 16-1-57)",F,E,Active,NMT 10 YEARS,3650,0,NONE,0,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3686,44-53-0420(B),"DRUGS / ATTEMPT TO POSSESS UNLAWFUL SUBSTANCE, TITLE 44, CHAPTER 53, ARTICLE 3",M,U,Active,NMT 30 DAYS &/OR NMT $500,30,0,AND/OR,500,0,FALSE,FALSE,OTHER,DRUGS-POSS,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3688,50-13-0030,"WILDLIFE / MISC VIOLATIONS OF TITLE 50, CHAPTER 13, PROTECTION OF FISH",M,U,Active,NMT 30 DAYS &/OR $25 - $500,30,0,AND/OR,500,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3689,52-13-0010,DANCE / DANCE HALL CHAPTER VIOLATION IN GENERAL,M,U,Active,NMT 30 DAYS OR $25 - $100,30,0,OR,100,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3690,50-11-0034,WILDLIFE / HUNTING MIGRATORY WATERFOWL ON LAKE MARION,M,U,Active,NMT 30 DAYS OR NMT $200,30,0,OR,200,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3691,23-03-0540(L),"VIOLATION / REMOVING, TAMPERING WITH, ALTERING OR DESTROYING ELECTRONIC MONITORING DEVICE",F,F,Active,"NMT 5 YEARS &/OR NMT $5,000",1825,0,AND/OR,5000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3692,50-05-0580,MARINE / UNLAWFUL TO GIG FOR FLOUNDER IN SALT WATERS DURING DAYLIGHT HOURS,M,U,Active,NMT 30 DAYS OR NMT $100,30,0,OR,100,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3693,06-009-0080,"BUILDING / TITLE 6, CHAPTER 9, BUILDING, HOUSING, ELECTRICAL, PLUMBING OR GAS CODE VIOLATIONS (CIVIL FINE ONLY)",U,E,Active,"FINE $200 - $2,000",0,0,NONE,2000,200,FALSE,TRUE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3694,16-13-0385(A),"UTILITIES / ALTERING, TAMPERING, BYPASSING UTILITY METERS - 3RD AND SUB. OFFENSE",F,F,Active,"NMT 5 YEARS &/OR NMT $15,000",1825,0,AND/OR,15000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3695,16-13-0385(C),"UTILITIES / ALTERING, TAMPERING, BYPASSING UTILITY METERS FOR PROFIT - 1ST OFFENSE",M,C,Active,NMT 1 YEAR &/OR NMT $1000,365,0,AND/OR,1000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3696,16-13-0385(C),"UTILITIES / ALTERING, TAMPERING, BYPASSING UTILITY METERS FOR PROFIT - 2ND OFFENSE",M,A,Active,"NMT 3 YEARS &/OR NMT $3,000",1095,0,AND/OR,3000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3697,16-13-0385(C),"UTILITIES / ALTERING, TAMPERING, BYPASSING UTILITY METERS FOR PROFIT - 3RD OR SUB. OFFENSE",F,F,Active,"NMT 5 YEARS &/OR NMT $5,000",1825,0,AND/OR,5000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3698,16-13-0385(D),"UTILITIES / ALTERING, TAMPERING, BYPASSING UTILITY METERS CAUSING PROPERTY DAMAGE OVER $5,000 OR RISK OF DEATH OR BODILY INJURY- 1ST OFFENSE",M,C,Active,NMT 1 YEAR &/OR NMT $1000,365,0,AND/OR,1000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3699,16-13-0385(D),"UTILITIES / ALTERING, TAMPERING, BYPASSING UTILITY METERS CAUSING PROPERTY DAMAGE OVER $5,000 OR RISK OF DEATH OR BODILY INJURY- 2ND OFFENSE",M,A,Active,"NMT 3 YEARS &/OR NMT $3,000",1095,0,AND/OR,3000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3700,16-13-0385(D),"UTILITIES / ALTERING, TAMPERING, BYPASSING UTILITY METERS CAUSING PROPERTY DAMAGE OVER $5,000 OR RISK OF DEATH OR BODILY INJURY- 3RD OR SUB OFFENSE",F,F,Active,"NMT 5 YEARS &/OR NMT $5,000",1825,0,AND/OR,5000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3701,16-13-0385(E)(1),"UTILITIES / ALTERING, TAMPERING, BYPASSING UTILITY METERS CAUSING GREAT BODILY INJURY TO ANOTHER",F,D,Active,"NMT 15 YEARS &/OR NMT $15,000",5475,0,AND/OR,15000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3702,16-13-0385(E)(2),"UTILITIES / ALTERING, TAMPERING, BYPASSING UTILITY METERS CAUSING DEATH OF ANOTHER",F,A,Active,NMT 30 YEARS,10950,0,NONE,0,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
3703,16-13-0385(G),"UTILITIES / ALTERING, TAMPERING, BYPASSING UTILITY METERS FOR PURPOSE OF GROWING OR MANUFACTURING CONTROLLED SUBSTANCES",F,E,Active,"NMT 10 YEARS &/OR NMT $15,000",3650,0,AND/OR,15000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3704,58-07-0060(A),"GAS / APPROPRIATION OF GAS UNLAWFULLY, 1ST OFFENSE",M,U,Active,NMT 30 DAYS OR NMT $500,30,0,OR,500,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3705,58-07-0060(A),"GAS / APPROPRIATION OF GAS UNLAWFULLY, 2ND OFFENSE",M,A,Active,"NMT 3 YEARS &/OR NMT $10,000",1095,0,AND/OR,10000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3706,58-07-0060(A),"GAS / APPROPRIATION OF GAS UNLAWFULLY, 3RD OR SUB. OFFENSE",F,F,Active,"NMT 5 YEARS &/OR NMT $15,000",1825,0,AND/OR,15000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3707,58-07-0060(C),"GAS / APPROPRIATION OF GAS UNLAWFULLY RESULTING IN PROPERTY DAMAGE OVER $5,000 OR RISK OF GREAT BODILY INJURY OR DEATH, 1ST OFFENSE",M,C,Active,NMT 1 YEAR &/OR NMT $1000,365,0,AND/OR,1000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3708,58-07-0060(C),"GAS / APPROPRIATION OF GAS UNLAWFULLY RESULTING IN PROPERTY DAMAGE OVER $5,000 OR RISK OF GREAT BODILY INJURY OR DEATH, 2ND OFFENSE",M,A,Active,"NMT 3 YEARS &/OR NMT $3,000",1095,0,AND/OR,3000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3709,58-07-0060(C),"GAS / APPROPRIATION OF GAS UNLAWFULLY RESULTING IN PROPERTY DAMAGE OVER $5,000 OR RISK OF GREAT BODILY INJURY OR DEATH, 3RD OR SUB. OFFENSE",F,F,Active,"NMT 5 YEARS &/OR NMT $5,000",1825,0,AND/OR,5000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3710,58-07-0060(D)(1),GAS / APPROPRIATION OF GAS UNLAWFULLY RESULTING IN GREAT BODILY INJURY TO ANOTHER,F,D,Active,"NMT 15 YEARS &/OR NMT $15,000",5475,0,AND/OR,15000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3711,58-07-0060(D)(2),GAS / APPROPRIATION OF GAS UNLAWFULLY RESULTING IN DEATH OF ANOTHER,F,A,Active,NMT 30 YEARS,10950,0,NONE,0,0,FALSE,FALSE,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
3712,58-07-0060(E),"GAS / AIDING OR ABETTING IN THE APPROPRIATION OF GAS UNLAWFULLY, 1ST OFFENSE",M,C,Active,NMT 1 YEAR &/OR NMT $1000,365,0,AND/OR,1000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3713,58-07-0060(E),"GAS / AIDING OR ABETTING IN THE APPROPRIATION OF GAS UNLAWFULLY, 2ND OFFENSE",M,A,Active,"NMT 3 YEARS &/OR NMT $3,000",1095,0,AND/OR,3000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3714,58-07-0060(E),"GAS / AIDING OR ABETTING IN THE APPROPRIATION OF GAS UNLAWFULLY, 3RD OR SUB. OFFENSE",F,F,Active,"NMT 5 YEARS &/OR NMT $5,000",1825,0,AND/OR,5000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3715,58-07-0070(B),"UTILITIES / INTERFERENCE WITH GAS METER, 1ST OFFENSE",M,U,Active,NMT 30 DAYS OR NMT $500,30,0,OR,500,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3716,58-07-0070(B),"UTILITIES / INTERFERENCE WITH GAS METER, 2ND OFFENSE",M,A,Active,"NMT 3 YEARS &/OR NMT $10,000",1095,0,AND/OR,10000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3717,58-07-0070(B),"UTILITIES / INTERFERENCE WITH GAS METER, 3RD AND SUB OFFENSE",F,F,Active,"NMT 5 YEARS &/OR NMT $15,000",1825,0,AND/OR,15000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3718,58-07-0070(C),"UTILITIES / WRONGFUL USE OF GAS OR INTERFERENCE WITH GAS METER FOR PROFIT OR INCOME, 1ST OFFENSE",M,C,Active,NMT 1 YEAR &/OR NMT $1000,365,0,AND/OR,1000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3719,58-07-0070(C),"UTILITIES / WRONGFUL USE OF GAS OR INTERFERENCE WITH GAS METER FOR PROFIT OR INCOME, 2ND OFFENSE",M,A,Active,"NMT 3 YEARS &/OR NMT $3,000",1095,0,AND/OR,3000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3720,58-07-0070(C),"UTILITIES / WRONGFUL USE OF GAS OR INTERFERENCE WITH GAS METER FOR PROFIT OR INCOME, 3RD OR SUB. OFFENSE",F,F,Active,"NMT 5 YEARS &/OR NMT $5,000",1825,0,AND/OR,5000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3721,58-07-0070(D),"UTILITIES / WRONGFUL USE OF GAS/INTERFERENCE WITH METER, CAUSING OVER $5,000 PROP. DAMAGE/RISK OF GREAT BODILY INJURY OR DEATH, 1ST OFFENSE",M,C,Active,NMT 1 YEAR &/OR NMT $1000,365,0,AND/OR,1000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3722,58-07-0070(D),"UTILITIES / WRONGFUL USE OF GAS/INTERFERENCE WITH METER, CAUSING OVER $5,000 PROP. DAMAGE/RISK OF GREAT BODILY INJURY OR DEATH, 2ND OFFENSE",M,A,Active,"NMT 3 YEARS &/OR NMT $3,000",1095,0,AND/OR,3000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3723,58-07-0070(D),"UTILITIES / WRONGFUL USE OF GAS/INTERFERENCE WITH METER, CAUSING OVER $5,000 PROP. DAMAGE/RISK OF GREAT BODILY INJURY OR DEATH, 3RD OR SUB. OFFENSE",F,F,Active,"NMT 5 YEARS &/OR NMT $5,000",1825,0,AND/OR,5000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3724,58-07-0070(E)(1),"UTILITIES / WRONGFUL USE OF GAS/INTERFERENCE WITH METER, CAUSING GREAT BODILY INJURY TO ANOTHER",F,D,Active,"NMT 15 YEARS &/OR NMT $15,000",5475,0,AND/OR,15000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3725,58-07-0070(E)(2),"UTILITIES / WRONGFUL USE OF GAS/INTERFERENCE WITH METER, CAUSING THE DEATH OF ANOTHER",F,A,Active,NMT 30 YEARS,10950,0,NONE,0,0,FALSE,FALSE,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
3726,23-31-1040(A),"WEAPON / UNLAWFUL FOR MENTAL DEFECTIVE TO SHIP, TRANSPORT, POSSESS OR RECEIVE FIREARM OR AMMUNITION",F,F,Active,"NMT 5 YEARS &/OR NMT $2,000",1825,0,AND/OR,2000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3727,50-21-0146,WILDLIFE / DISCHARGING FIREARMS AT BOAT LANDING OR RAMP,M,U,Active,10 DAYS - 30 DAYS OR $25 - $200,30,0,OR,200,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3728,55-03-0130,"AIRCRAFT / POINTING, AIMING, OR DISCHARGING LASER DEVICE AT AIRCRAFT, 1ST OFFENSE",M,C,Active,NMT 1 YEAR &/OR NMT $2000,365,0,AND/OR,2000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3729,55-03-0130,"AIRCRAFT / POINTING, AIMING, OR DISCHARGING LASER DEVICE AT AIRCRAFT, 2ND OR SUB. OFFENSE",F,U,Active,"NMT 3 YEARS &/OR NMT $5,000",1095,0,AND/OR,5000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3730,55-03-0130,AIRCRAFT / SHINING LIGHT OR BRIGHT DEVICE AT AIRCRAFT,M,C,Active,NMT 1 YEAR &/OR NMT $1000,365,0,AND/OR,1000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3731,55-001-0100(B),AIRCRAFT / REFUSAL TO SUBMIT TO BREATH TEST BY AIRCRAFT OPERATOR OR FLIGHT CREW  (CIVIL PENALTY ONLY),O,O,Active,FINE,0,0,NONE,300,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3732,55-005-0260(A),AIRCRAFT / UNIFORM STATE AERONAUTICAL REGULATORY ACT VIOLATION (CIVIL PENALTY ONLY),N,N,Active,"FINE $0.10 PER POUND OVER WEIGHT LIMIT, BEGINNING WITH THE FIRST POUND IN EXCESS",0,0,NONE,1000,0.1,FALSE,TRUE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3733,55-05-0260(C),AIRCRAFT / KNOWINGLY MAKING FALSE STATEMENT IN REPORT,M,U,Active,"NMT 90 DAYS &/OR $100 - $1,000",90,0,AND/OR,1000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3734,55-013-0030,AIRPORT / VIOLATION OF REGULATIONS ENACTED BY COUNTIES REGARDING AIRPORTS (CIVIL PENALTY ONLY),U,E,Active,FINE,0,0,NONE,300,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3735,41-41-0050,EMPLOYMENT / VIOLATION OF EMPLOYMENT & WORKFORCE LAW,M,U,Active,NMT 30 DAYS OR $50 - $200,30,0,OR,200,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3736,50-11-0435,"WILDLIFE / UNLAWFUL TAKING OF BEAR, LESS THAN 100 LBS",M,U,Active,NMT 30 DAYS &/OR NMT $500,30,0,AND/OR,500,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3737,16-13-0440(B),"LARCENY / OBTAINING OR ATTEMPTING TO OBTAIN A MERCHANT REFUND USING FALSE OR ALTERED IDENTIFICATION CARD (VALUE LESS THAN $2,000)",M,U,Active,"NMT 6 MONTHS &/OR NMT 2,500",180,0,AND/OR,2500,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3738,16-13-0440(B),"LARCENY / OBTAINING OR ATTEMPTING TO OBTAIN A MERCHANT REFUND USING FALSE OR ALTERED IDENTIFICATION CARD (VALUE $2,000 OR MORE)",F,F,Active,"NMT 5 YEARS &/OR NMT $5,500",1825,0,AND/OR,5500,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3739,16-13-0440(B),"LARCENY / OBTAINING OR ATTEMPTING TO OBTAIN A MERCHANT REFUND USING FALSE OR ALTERED IDENTIFICATION CARD, 3RD OR SUBSEQUENT",F,E,Active,NMT 10 YEARS,3650,0,NONE,0,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3740,16-13-0180(A),"RSG / RECEIVING STOLEN GOODS, VALUE MORE THAN $2,000 BUT LESS THAN $10,000",M,A,Active,"NMT 3 YEARS OR NLT $1,000",1095,0,OR,3000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3741,16-13-0180(B),"RSG / RECEIVING GOODS, REPRESENTED AS STOLEN, VALUE $2,000 OR LESS",M,U,Active,"NMT 30 DAYS OR NMT $1,000",30,0,OR,1000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
